,rep_rate,acc_score,fit_mu,fit_var,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,100.0,,8.158530303,0.002022154,0.000619195,0.003036053,0.012583641,0.030420453,0.057645061,0.08858484,0.113372616,0.13106961,0.13374613,0.120463398,0.101088585,0.077459303,0.05446919,0.034894637,0.020992709,0.011644862,0.007909717
1,200.0,0.935109618,8.655303622,0.001414046,0.001927711,0.0,0.006184739,0.019317269,0.039839357,0.06875502,0.10253012,0.128313253,0.137188755,0.129196787,0.110321285,0.087429719,0.067670683,0.040963855,0.027670683,0.015542169,0.017148594
2,300.0,0.934469515,8.673805804,0.001119886,0.001730382,0.0,0.007686117,0.018631791,0.041247485,0.069859155,0.100885312,0.127122736,0.132756539,0.132957746,0.114285714,0.088128773,0.066841046,0.040482897,0.026720322,0.01444668,0.016217304
3,400.0,0.878620579,8.976778009,0.008199221,0.000963855,0.0,0.006465863,0.016465863,0.035341365,0.061485944,0.097791165,0.118192771,0.115582329,0.14248996,0.111927711,0.092610442,0.071325301,0.052771084,0.031285141,0.020401606,0.024899598
4,500.0,0.861177788,9.184086226,0.029728938,0.000843373,0.0,0.00562249,0.015261044,0.03064257,0.05497992,0.094257028,0.112128514,0.134096386,0.094096386,0.136907631,0.0962249,0.067710843,0.059116466,0.035502008,0.027590361,0.03502008
5,600.0,0.832133141,9.2535152,0.058231349,0.000160966,0.0,0.004668008,0.011871227,0.024708249,0.058350101,0.084507042,0.12056338,0.097625755,0.148571429,0.145754527,0.095130785,0.052152918,0.083702213,0.017183099,0.013843058,0.041207243
6,700.0,0.796447432,8.954591136,0.078103039,0.0,0.0,0.001895161,0.008387097,0.027419355,0.050725806,0.085927419,0.138427419,0.116491935,0.187782258,0.155564516,0.096532258,0.072540323,0.022258065,0.014919355,0.006451613,0.014677419
7,800.0,0.779804769,7.987297282,0.353163363,0.0,0.0,0.000727273,0.005090909,0.021333333,0.058707071,0.133373737,0.168888889,0.269818182,0.224686869,0.069858586,0.035272727,0.006585859,0.001575758,0.001616162,0.000727273,0.001737374
8,900.0,0.761481837,6.581585358,1.074518982,0.0,0.0,8.1e-05,0.002874494,0.020283401,0.086153846,0.496194332,0.246356275,0.093522267,0.046315789,0.006032389,0.001255061,0.000526316,0.000202429,0.0,4.05e-05,0.000161943
9,1000.0,0.7361177788446152,5.630728234411273,1.490923397820503,0.0,0.0,0.0,0.001004016064257,0.0098795180722891,0.5464658634538153,0.4086345381526104,0.0248192771084337,0.0071887550200803,0.0018473895582329,0.0001204819277108,0.0,4.0160642570281125e-05,0.0,0.0,0.0,0.0
