,rep_rate,acc_score,fit_mu,fit_var,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,100.0,,6.039983486023341,0.0003620138832467,0.0018361074522013,0.0131720752005747,0.0427493713327745,0.0914461341955055,0.128567437033489,0.1609388097233864,0.1593421945475591,0.141579850716481,0.1021035404941523,0.069851913942442,0.0430287789885442,0.024907196742905,0.0123737676126611,0.0048297609068774,0.0025545842813235,0.0007184768291222
1,200.0,0.953753512645524,6.036832707679204,0.0002743999677359,0.0024096385542168,0.0149397590361445,0.0454618473895582,0.090722891566265,0.1283132530120481,0.1581124497991967,0.1590763052208835,0.1392771084337349,0.1024899598393574,0.0703212851405622,0.0424899598393574,0.023574297188755,0.0123293172690763,0.0066265060240963,0.0026907630522088,0.0011646586345381
2,300.0,0.9566439181051788,6.042778396079734,7.312957379274087e-05,0.0026961770623742,0.0145271629778672,0.0439436619718309,0.0871629778672032,0.1314285714285714,0.1582293762575452,0.1629778672032193,0.1382696177062374,0.1040241448692153,0.0696981891348088,0.0422535211267605,0.0241851106639839,0.0121931589537223,0.0047887323943661,0.0020925553319919,0.0015291750503018
3,400.0,0.9183460457647532,6.117974237650593,0.0002000015925839,0.0026506024096385,0.0141767068273092,0.0421285140562249,0.0839357429718875,0.1302811244979919,0.1535341365461847,0.1601204819277108,0.1398795180722891,0.1073493975903614,0.0738955823293172,0.0420481927710843,0.0257429718875502,0.0136144578313253,0.0060642570281124,0.0031325301204819,0.0014457831325301
4,500.0,0.9123243677238057,6.133460140688514,0.0014149690227906,0.000441767068273,0.0128915662650602,0.0414457831325301,0.08,0.1295582329317269,0.1622088353413654,0.1516867469879518,0.1346586345381526,0.1053815261044176,0.0751405622489959,0.0475502008032128,0.0281124497991967,0.0169477911646586,0.0069477911646586,0.0046586345381526,0.0023694779116465
5,600.0,0.897792051384986,6.149907665380023,0.0040680085410073,0.0004828973843058,0.011066398390342,0.0389939637826961,0.083420523138833,0.1222937625754527,0.1551710261569416,0.1667605633802817,0.155010060362173,0.0937625754527163,0.0667203219315895,0.0472837022132796,0.0303822937625754,0.0152515090543259,0.0055935613682092,0.0057545271629778,0.0020523138832997
6,700.0,0.8737053392211963,6.037442180678561,0.0149152341389795,0.0,0.008266129032258,0.032016129032258,0.07375,0.1343145161290322,0.1754435483870967,0.1922983870967742,0.1441935483870967,0.1131048387096774,0.0601612903225806,0.0231854838709677,0.0234677419354838,0.0111693548387096,0.0049596774193548,0.0025403225806451,0.0011290322580645
7,800.0,0.8570855078281815,5.951528896707528,0.0333225865675666,0.0,0.0045252525252525,0.025050505050505,0.0747878787878787,0.1478383838383838,0.1892929292929293,0.188,0.1786666666666666,0.0983030303030303,0.0564444444444444,0.0182626262626262,0.0107070707070707,0.0047676767676767,0.0025858585858585,0.0003636363636363,0.0004040404040404
8,900.0,0.8428743476515456,5.669006313761013,0.102261921195929,0.0,0.0017004048582995,0.0217408906882591,0.0781376518218623,0.1619433198380566,0.2258704453441295,0.2419028340080971,0.1648582995951417,0.0725101214574898,0.0171255060728744,0.0084615384615384,0.0033603238866396,0.0018218623481781,0.0003238866396761,0.000242914979757,0.0
9,1000.0,0.8313930148534725,5.304627950239143,0.170061895880012,0.0,0.0010843373493975,0.021726907630522,0.0925301204819277,0.1934538152610442,0.296867469879518,0.2302008032128514,0.127429718875502,0.0266666666666666,0.0068273092369477,0.0019277108433734,0.0009236947791164,0.0003212851405622,4.0160642570281125e-05,0.0,0.0
